162 ms ; init
14383625 ms ; Motor stopped - Micro switch triggered
14391343 ms ; Button pressed (no action triggered)
14391803 ms ; Button pressed (no action triggered)
14392939 ms ; Button pressed (no action triggered)
14393698 ms ; Button pressed (no action triggered)
14394155 ms ; Button pressed (no action triggered)
14396871 ms ; Button pressed (no action triggered)
14397533 ms ; Button pressed (no action triggered)
14398115 ms ; Button pressed (no action triggered)
14404316 ms ; Button pressed (no action triggered)
14769955 ms ; Button pressed - Motor activated
14771804 ms ; Button pressed (while motor running)
14774097 ms ; Motor stopped - Micro switch triggered
14790173 ms ; Button pressed (no action triggered)
14790879 ms ; Button pressed (no action triggered)
14791543 ms ; Button pressed (no action triggered)
14794229 ms ; Button pressed (no action triggered)
14794600 ms ; Button pressed (no action triggered)
14794877 ms ; Button pressed (no action triggered)
14795911 ms ; Button pressed (no action triggered)
14797502 ms ; Button pressed (no action triggered)
14797930 ms ; Button pressed (no action triggered)
14800006 ms ; Button pressed (no action triggered)
14800169 ms ; Button pressed (no action triggered)
14800399 ms ; Button pressed (no action triggered)
14800604 ms ; Button pressed (no action triggered)
14800770 ms ; Button pressed (no action triggered)
14803113 ms ; Button pressed (no action triggered)
14821159 ms ; Button pressed - Motor activated
14825226 ms ; Motor stopped - Micro switch triggered
14827295 ms ; Button pressed (no action triggered)
14832328 ms ; Button pressed (no action triggered)
14834388 ms ; Button pressed (no action triggered)
15267474 ms ; Button pressed - Motor activated
15271598 ms ; Motor stopped - Micro switch triggered
15272551 ms ; Button pressed (no action triggered)
15273069 ms ; Button pressed (no action triggered)
15273321 ms ; Button pressed (no action triggered)
15273593 ms ; Button pressed (no action triggered)
15273839 ms ; Button pressed (no action triggered)
15274101 ms ; Button pressed (no action triggered)
15274309 ms ; Button pressed (no action triggered)
15274702 ms ; Button pressed (no action triggered)
15277011 ms ; Button pressed (no action triggered)
15277253 ms ; Button pressed (no action triggered)
15277475 ms ; Button pressed (no action triggered)
15277644 ms ; Button pressed (no action triggered)
15278779 ms ; Button pressed (no action triggered)
15279048 ms ; Button pressed (no action triggered)
15279302 ms ; Button pressed (no action triggered)
15279580 ms ; Button pressed (no action triggered)
15279842 ms ; Button pressed (no action triggered)
15280461 ms ; Button pressed (no action triggered)
15280970 ms ; Button pressed (no action triggered)
15283348 ms ; Button pressed (no action triggered)
15284579 ms ; Button pressed (no action triggered)
15284917 ms ; Button pressed (no action triggered)
15285105 ms ; Button pressed (no action triggered)
15285299 ms ; Button pressed (no action triggered)
15285559 ms ; Button pressed (no action triggered)
15285893 ms ; Button pressed (no action triggered)
15286380 ms ; Button pressed (no action triggered)
15287287 ms ; Button pressed (no action triggered)
15287816 ms ; Button pressed (no action triggered)
15288879 ms ; Button pressed (no action triggered)
15289776 ms ; Button pressed (no action triggered)
15290130 ms ; Button pressed (no action triggered)
15291019 ms ; Button pressed (no action triggered)
15291217 ms ; Button pressed (no action triggered)
15291462 ms ; Button pressed (no action triggered)
15291753 ms ; Button pressed (no action triggered)
15292034 ms ; Button pressed (no action triggered)
15292221 ms ; Button pressed (no action triggered)
15292421 ms ; Button pressed (no action triggered)
15292760 ms ; Button pressed (no action triggered)
15292982 ms ; Button pressed (no action triggered)
15293170 ms ; Button pressed (no action triggered)
15862728 ms ; Button pressed - Motor activated
15864408 ms ; Button pressed (while motor running)
15866853 ms ; Motor stopped - Micro switch triggered
15871390 ms ; Button pressed (no action triggered)
15871747 ms ; Button pressed (no action triggered)
15872271 ms ; Button pressed (no action triggered)
15873541 ms ; Button pressed (no action triggered)
15876466 ms ; Button pressed (no action triggered)
15877207 ms ; Button pressed (no action triggered)
15957755 ms ; Button pressed - Motor activated
15960720 ms ; Button pressed (while motor running)
15961878 ms ; Motor stopped - Micro switch triggered
15962796 ms ; Button pressed (no action triggered)
15965122 ms ; Button pressed (no action triggered)
15969084 ms ; Button pressed (no action triggered)
15971214 ms ; Button pressed (no action triggered)
15971924 ms ; Button pressed (no action triggered)
16705974 ms ; Button pressed - Motor activated
16710114 ms ; Motor stopped - Micro switch triggered
16710896 ms ; Button pressed (no action triggered)
16712629 ms ; Button pressed (no action triggered)
16721921 ms ; Button pressed (no action triggered)
16722405 ms ; Button pressed (no action triggered)
16722820 ms ; Button pressed (no action triggered)
16723239 ms ; Button pressed (no action triggered)
16733208 ms ; Button pressed (no action triggered)
16742448 ms ; Button pressed - Motor activated
16744613 ms ; Button pressed (while motor running)
16746563 ms ; Motor stopped - Micro switch triggered
16747302 ms ; Button pressed (no action triggered)
16748595 ms ; Button pressed (no action triggered)
16750451 ms ; Button pressed (no action triggered)
16751602 ms ; Button pressed (no action triggered)
17335227 ms ; Button pressed - Motor activated
17337345 ms ; Button pressed (while motor running)
17339358 ms ; Motor stopped - Micro switch triggered
17339848 ms ; Button pressed (no action triggered)
17342358 ms ; Button pressed (no action triggered)
17346245 ms ; Button pressed (no action triggered)
17347270 ms ; Button pressed (no action triggered)
