258 ms ; Init
4722931 ms ; Button pressed (while motor running)
4723789 ms ; Button pressed (while motor running)
4724244 ms ; Button pressed (while motor running)
4724637 ms ; Button pressed (while motor running)
4724943 ms ; Button pressed (while motor running)
4725518 ms ; Motor stopped - Micro switch triggered
4725606 ms ; Button pressed (no action triggered)
4726170 ms ; Button pressed (no action triggered)
4730736 ms ; Button pressed (no action triggered)
4744893 ms ; Button pressed (no action triggered)
4745224 ms ; Button pressed (no action triggered)
4745669 ms ; Button pressed (no action triggered)
4746529 ms ; Button pressed (no action triggered)
4753351 ms ; Button pressed (no action triggered)
4754500 ms ; Button pressed (no action triggered)
4764142 ms ; Button pressed - Motor activated
4765290 ms ; Button pressed (while motor running)
4765476 ms ; Button pressed (while motor running)
4765657 ms ; Button pressed (while motor running)
4765851 ms ; Button pressed (while motor running)
4766048 ms ; Button pressed (while motor running)
4766244 ms ; Button pressed (while motor running)
4766454 ms ; Button pressed (while motor running)
4766654 ms ; Button pressed (while motor running)
4766869 ms ; Button pressed (while motor running)
4767108 ms ; Button pressed (while motor running)
4767300 ms ; Button pressed (while motor running)
4767492 ms ; Button pressed (while motor running)
4767686 ms ; Button pressed (while motor running)
4767836 ms ; Button pressed (while motor running)
4768041 ms ; Button pressed (while motor running)
4768220 ms ; Motor stopped - Micro switch triggered
4768608 ms ; Button pressed (no action triggered)
4768802 ms ; Button pressed (no action triggered)
4768992 ms ; Button pressed (no action triggered)
4769181 ms ; Button pressed (no action triggered)
4769510 ms ; Button pressed (no action triggered)
4769947 ms ; Button pressed (no action triggered)
4770418 ms ; Button pressed (no action triggered)
4770556 ms ; Button pressed (no action triggered)
4770879 ms ; Button pressed (no action triggered)
4771075 ms ; Button pressed (no action triggered)
4771249 ms ; Button pressed (no action triggered)
4771422 ms ; Button pressed (no action triggered)
4771621 ms ; Button pressed (no action triggered)
4771830 ms ; Button pressed (no action triggered)
4772026 ms ; Button pressed (no action triggered)
4772242 ms ; Button pressed (no action triggered)
4775650 ms ; Button pressed (no action triggered)
4775886 ms ; Button pressed (no action triggered)
