408 ms ; init
50879816 ms ; SW4 ;has been pressed
50880048 ms ; SW2 ;has been pressed
50880802 ms ; SW2 ;has been pressed
50883651 ms ; SW2 ;has been pressed
50883872 ms ; SW2 ;has been pressed
50884113 ms ; SW2 ;has been pressed
50884298 ms ; SW2 ;has been pressed
50884497 ms ; SW2 ;has been pressed
50884669 ms ; SW2 ;has been pressed
50884872 ms ; SW2 ;has been pressed
50885051 ms ; SW2 ;has been pressed
50885477 ms ; SW2 ;has been pressed
50886030 ms ; SW2 ;has been pressed
50886226 ms ; SW2 ;has been pressed
50886676 ms ; SW2 ;has been pressed
50886868 ms ; SW2 ;has been pressed
50887069 ms ; SW2 ;has been pressed
50887538 ms ; SW2 ;has been pressed
50887771 ms ; SW2 ;has been pressed
50888239 ms ; SW2 ;has been pressed
50888488 ms ; SW2 ;has been pressed
50888726 ms ; SW2 ;has been pressed
50888975 ms ; SW2 ;has been pressed
50889200 ms ; SW2 ;has been pressed
50889440 ms ; SW2 ;has been pressed
50889680 ms ; SW2 ;has been pressed
50889896 ms ; SW2 ;has been pressed
50890115 ms ; SW2 ;has been pressed
50890317 ms ; SW2 ;has been pressed
50890540 ms ; SW2 ;has been pressed
50890749 ms ; SW2 ;has been pressed
50890975 ms ; SW2 ;has been pressed
50891189 ms ; SW2 ;has been pressed
50891414 ms ; SW2 ;has been pressed
50891628 ms ; SW2 ;has been pressed
50891829 ms ; SW2 ;has been pressed
50892032 ms ; SW2 ;has been pressed
50892237 ms ; SW2 ;has been pressed
50893057 ms ; SW2 ;has been pressed
50896397 ms ; SW2 ;has been pressed
50896629 ms ; SW2 ;has been pressed
50897538 ms ; SW2 ;has been pressed
50897722 ms ; SW2 ;has been pressed
50897916 ms ; SW2 ;has been pressed
50898144 ms ; SW2 ;has been pressed
50898347 ms ; SW2 ;has been pressed
50898546 ms ; SW2 ;has been pressed
50898756 ms ; SW2 ;has been pressed
50898967 ms ; SW2 ;has been pressed
50899178 ms ; SW2 ;has been pressed
50899396 ms ; SW2 ;has been pressed
50899616 ms ; SW2 ;has been pressed
50899800 ms ; SW2 ;has been pressed
50900056 ms ; SW2 ;has been pressed
50900364 ms ; SW2 ;has been pressed
50900630 ms ; SW2 ;has been pressed
50900907 ms ; SW2 ;has been pressed
50901176 ms ; SW2 ;has been pressed
50901534 ms ; SW2 ;has been pressed
50901724 ms ; SW2 ;has been pressed
50902000 ms ; SW2 ;has been pressed
50902304 ms ; SW2 ;has been pressed
50902585 ms ; SW2 ;has been pressed
50903086 ms ; SW2 ;has been pressed
50903523 ms ; SW2 ;has been pressed
50904088 ms ; SW2 ;has been pressed
50904511 ms ; SW2 ;has been pressed
50904764 ms ; SW2 ;has been pressed
50904981 ms ; SW2 ;has been pressed
50905191 ms ; SW2 ;has been pressed
50905394 ms ; SW2 ;has been pressed
50906259 ms ; SW2 ;has been pressed
50906813 ms ; SW2 ;has been pressed
50907180 ms ; SW2 ;has been pressed
50907641 ms ; SW2 ;has been pressed
50908052 ms ; SW2 ;has been pressed
50908552 ms ; SW2 ;has been pressed
50910605 ms ; SW2 ;has been pressed
51090834 ms ; SW3 ;has been pressed and the led UV has activate
51091153 ms ; SW2 ;has been pressed
51091790 ms ; SW3 ;has been pressed
51092339 ms ; SW4 ;has been pressed
51093658 ms ; SW4 ;has been pressed
51094978 ms ; SW1 ;has been pressed
51095097 ms ; SW2 ;has been pressed
51096464 ms ; SW2 ;has been pressed
51100674 ms ; SW4 ;has been pressed
51101059 ms ; SW4 ;has been pressed
51101578 ms ; SW4 ;has been pressed
51102066 ms ; SW3 ;has been pressed
51175922 ms ; SW4 ;has been pressed
51176541 ms ; SW4 ;has been pressed
51177060 ms ; SW3 ;has been pressed
51177894 ms ; SW1 ;has been pressed
51184912 ms ; SW2 a été pressé
51185157 ms ; SW2 a été pressé
51185402 ms ; SW2 a été pressé
51185623 ms ; SW2 a été pressé
51185832 ms ; SW2 a été pressé
51186046 ms ; SW2 a été pressé
51186245 ms ; SW2 a été pressé
53887638 ms ; SW2 a été pressé
53890057 ms ; SW1 a été pressé
53892558 ms ; SW3 a été pressé
53893535 ms ; SW4 ;has been pressed and the led UV has activate
53931876 ms ; SW4 ;has been pressed
53932353 ms ; SW4 ;has been pressed
53932477 ms ; SW4 ;has been pressed
53932597 ms ; SW4 ;has been pressed
53932963 ms ; SW4 ;has been pressed
53933596 ms ; SW4 ;has been pressed
53933817 ms ; SW4 ;has been pressed
53935288 ms ; SW3 ;has been pressed
53935645 ms ; SW3 ;has been pressed
54624008 ms ; SW2 a été pressé
54683695 ms ; SW1 ;has been pressed and the led UV has activate
54757889 ms ; SW1 ;has been pressed
54758772 ms ; SW2 ;has been pressed
54761203 ms ; SW1 ;has been pressed
54762636 ms ; SW1 ;has been pressed
54763130 ms ; SW1 ;has been pressed
54763967 ms ; SW1 ;has been pressed
54764542 ms ; SW2 ;has been pressed
54764956 ms ; SW3 ;has been pressed
54765638 ms ; SW4 ;has been pressed
54774753 ms ; SW1 a été pressé
54775073 ms ; SW1 a été pressé
54776810 ms ; SW2 ;has been pressed and the led UV has activate
54778373 ms ; SW2 ;has been pressed
54793003 ms ; SW4 ;has been pressed
54793572 ms ; SW4 ;has been pressed
54794097 ms ; SW2 ;has been pressed
54794681 ms ; SW1 ;has been pressed
54795046 ms ; SW1 ;has been pressed
54795266 ms ; SW3 ;has been pressed
54795392 ms ; SW2 ;has been pressed
54802975 ms ; SW2 ;has been pressed
54803392 ms ; SW3 ;has been pressed
54803512 ms ; SW1 ;has been pressed
54803702 ms ; SW3 ;has been pressed
54803821 ms ; SW1 ;has been pressed
54804009 ms ; SW3 ;has been pressed
54804543 ms ; SW4 ;has been pressed
54813796 ms ; SW2 ;has been pressed
54814430 ms ; SW1 ;has been pressed
54815133 ms ; SW3 ;has been pressed
54832046 ms ; SW2 ;has been pressed
54832866 ms ; SW1 ;has been pressed
54833355 ms ; SW3 ;has been pressed
54833603 ms ; SW4 ;has been pressed
54858693 ms ; SW3 ;has been pressed
54858985 ms ; SW3 ;has been pressed
54859209 ms ; SW3 ;has been pressed
