417 ms ; init
398 ms ; init
24656120 ms ; SW3 ;has been pressed
24656375 ms ; SW3 ;has been pressed
24656689 ms ; SW3 ;has been pressed
24657770 ms ; SW1 ;has been pressed
24658126 ms ; SW1 ;has been pressed
24658263 ms ; SW2 ;has been pressed
24658552 ms ; SW2 ;has been pressed
24658725 ms ; SW1 ;has been pressed
24663183 ms ; SW3 ;has been pressed
24674937 ms ; SW4 ;has been pressed and the led UV has activate
24676548 ms ; SW3 ;has been pressed
24677853 ms ; SW2 ;has been pressed
24677971 ms ; SW2 ;has been pressed
24678303 ms ; SW1 ;has been pressed
24678754 ms ; SW2 ;has been pressed
24678772 ms ; SW1 ;has been pressed
24679020 ms ; SW2 ;has been pressed
24679296 ms ; SW2 ;has been pressed
24681099 ms ; SW2 ;has been pressed
24681117 ms ; SW3 ;has been pressed
24681136 ms ; SW4 ;has been pressed
24681155 ms ; SW1 ;has been pressed
24681806 ms ; SW1 ;has been pressed
24681825 ms ; SW2 ;has been pressed
24681844 ms ; SW3 ;has been pressed
25090956 ms ; SW3 ;has been pressed
25092014 ms ; SW2 ;has been pressed
25146200 ms ; SW2 ;has been pressed
25146443 ms ; SW2 ;has been pressed
25148774 ms ; SW1 ;has been pressed and the led UV has activate
25149560 ms ; SW2 ;has been pressed
25151976 ms ; SW3 ;has been pressed
398 ms ; init
7469007 ms ; SW2 ;has been pressed
7469126 ms ; SW2 ;has been pressed
7469783 ms ; SW2 ;has been pressed
7469902 ms ; SW2 ;has been pressed
7470156 ms ; SW2 ;has been pressed
7470360 ms ; SW2 ;has been pressed
7470708 ms ; SW2 ;has been pressed
7470830 ms ; SW2 ;has been pressed
7471606 ms ; SW1 ;has been pressed and the led UV has activate
7471898 ms ; SW1 ;has been pressed
7472160 ms ; SW1 ;has been pressed
7475187 ms ; SW1 ;has been pressed
7475898 ms ; SW2 ;has been pressed
7478093 ms ; SW1 ;has been pressed
7478503 ms ; SW1 ;has been pressed
7478849 ms ; SW1 ;has been pressed
7483933 ms ; SW1 ;has been pressed
7484332 ms ; SW2 ;has been pressed
7484476 ms ; SW2 ;has been pressed
8078064 ms ; SW3 ;has been pressed
8080421 ms ; SW2 ;has been pressed and the led UV has activate
8080772 ms ; SW2 ;has been pressed
8080890 ms ; SW2 ;has been pressed
8081144 ms ; SW2 ;has been pressed
8081347 ms ; SW2 ;has been pressed
8081466 ms ; SW2 ;has been pressed
8081858 ms ; SW4 ;has been pressed
8081878 ms ; SW3 ;has been pressed
8081996 ms ; SW4 ;has been pressed
8082150 ms ; SW4 ;has been pressed
8082390 ms ; SW4 ;has been pressed
8082508 ms ; SW2 ;has been pressed
8082527 ms ; SW3 ;has been pressed
8082755 ms ; SW4 ;has been pressed
8082874 ms ; SW4 ;has been pressed
8082993 ms ; SW2 ;has been pressed
8083486 ms ; SW3 ;has been pressed
8083996 ms ; SW3 ;has been pressed
8084448 ms ; SW3 ;has been pressed
8084720 ms ; SW1 ;has been pressed
8084969 ms ; SW3 ;has been pressed
8085511 ms ; SW3 ;has been pressed
8085649 ms ; SW1 ;has been pressed
8086591 ms ; SW3 ;has been pressed
8086850 ms ; SW1 ;has been pressed
8087222 ms ; SW3 ;has been pressed
8087647 ms ; SW3 ;has been pressed
8087665 ms ; SW1 ;has been pressed
8088157 ms ; SW3 ;has been pressed
8088518 ms ; SW1 ;has been pressed
8089740 ms ; SW3 ;has been pressed
8091086 ms ; SW3 ;has been pressed
8091695 ms ; SW3 ;has been pressed
8102808 ms ; SW3 ;has been pressed
8103321 ms ; SW3 ;has been pressed
8103841 ms ; SW3 ;has been pressed
8104890 ms ; SW3 ;has been pressed
8115927 ms ; SW1 ;has been pressed
398 ms ; init
2371535 ms ; SW4 ;has been pressed
2372367 ms ; SW4 ;has been pressed
2372718 ms ; SW3 ;has been pressed
2689594 ms ; SW2 ;has been pressed
2689788 ms ; SW2 ;has been pressed
2689907 ms ; SW2 ;has been pressed
2690911 ms ; SW2 ;has been pressed
2693446 ms ; SW2 ;has been pressed
2693565 ms ; SW2 ;has been pressed
2695595 ms ; SW1 ;has been pressed and the led UV has activate
2702718 ms ; SW1 ;has been pressed
2710212 ms ; SW1 ;has been pressed
2718120 ms ; SW1 ;has been pressed
2720080 ms ; SW2 ;has been pressed
2720201 ms ; SW2 ;has been pressed
2730419 ms ; SW1 ;has been pressed
3232036 ms ; SW2 ;has been pressed and the led UV has activate
4165917 ms ; SW4 ;has been pressed
4168409 ms ; SW4 ;has been pressed
4168875 ms ; SW4 ;has been pressed
4171457 ms ; SW3 ;has been pressed and the led UV has activate
4172342 ms ; SW3 ;has been pressed
4172461 ms ; SW3 ;has been pressed
4176574 ms ; SW3 ;has been pressed
4552173 ms ; SW4 ;has been pressed and the led UV has activate
4552457 ms ; SW4 ;has been pressed
4561887 ms ; SW3 ;has been pressed
4562006 ms ; SW3 ;has been pressed
4562877 ms ; SW2 ;has been pressed
4563109 ms ; SW2 ;has been pressed
4563329 ms ; SW4 ;has been pressed
4563447 ms ; SW4 ;has been pressed
4563717 ms ; SW4 ;has been pressed
4563825 ms ; SW1 ;has been pressed
4564252 ms ; SW2 ;has been pressed
4564371 ms ; SW2 ;has been pressed
4564569 ms ; SW3 ;has been pressed
4564882 ms ; SW1 ;has been pressed
4582943 ms ; SW1 ;has been pressed
4585208 ms ; SW1 ;has been pressed
4585986 ms ; SW4 ;has been pressed
4586174 ms ; SW4 ;has been pressed
4592260 ms ; SW2 ;has been pressed
4592378 ms ; SW2 ;has been pressed
4592595 ms ; SW3 ;has been pressed
4592780 ms ; SW1 ;has been pressed
4593132 ms ; SW3 ;has been pressed
4601432 ms ; SW2 ;has been pressed
4601552 ms ; SW2 ;has been pressed
4606396 ms ; SW3 ;has been pressed
4606563 ms ; SW4 ;has been pressed
4606742 ms ; SW4 ;has been pressed
4606921 ms ; SW3 ;has been pressed
4607128 ms ; SW4 ;has been pressed
4607435 ms ; SW3 ;has been pressed
4607643 ms ; SW4 ;has been pressed
4607931 ms ; SW2 ;has been pressed
4608128 ms ; SW3 ;has been pressed
4608533 ms ; SW4 ;has been pressed
4609927 ms ; SW2 ;has been pressed
4610555 ms ; SW1 ;has been pressed
4611006 ms ; SW2 ;has been pressed
4614164 ms ; SW2 ;has been pressed
4614283 ms ; SW2 ;has been pressed
4672815 ms ; SW1 ;has been pressed and the led UV has activate
4678170 ms ; SW2 ;has been pressed
4678341 ms ; SW2 ;has been pressed
4678462 ms ; SW2 ;has been pressed
4678581 ms ; SW2 ;has been pressed
4721912 ms ; SW4 ;has been pressed
4877204 ms ; SW1 ;has been pressed
4877848 ms ; SW2 ;has been pressed and the led UV has activate
4878237 ms ; SW1 ;has been pressed
4878320 ms ; SW2 ;has been pressed
4878439 ms ; SW2 ;has been pressed
4879732 ms ; SW2 ;has been pressed
4879851 ms ; SW2 ;has been pressed
4880976 ms ; SW3 ;has been pressed
4882379 ms ; SW3 ;has been pressed
