415 ms ; init
9588007 ms ; SW3 ;has been pressed
9588146 ms ; SW4 ;has been pressed
9604988 ms ; SW4 ;has been pressed
9605107 ms ; SW4 ;has been pressed
9605126 ms ; SW3 ;has been pressed
9625036 ms ; SW1 ;has been pressed and the led UV has activate
9625537 ms ; SW2 ;has been pressed
9626093 ms ; SW3 ;has been pressed
9626559 ms ; SW4 ;has been pressed
16906159 ms ; SW2 ;has been pressed and the led UV has activate
16911366 ms ; SW3 ;has been pressed
16914886 ms ; SW1 ;has been pressed
17210024 ms ; SW3 ;has been pressed and the led UV has activate
17216375 ms ; SW3 ;has been pressed
17217660 ms ; SW4 ;has been pressed
17446047 ms ; SW2 ;has been pressed
17446166 ms ; SW2 ;has been pressed
17446307 ms ; SW2 ;has been pressed
17446564 ms ; SW2 ;has been pressed
17446711 ms ; SW2 ;has been pressed
17447047 ms ; SW2 ;has been pressed
17447247 ms ; SW2 ;has been pressed
17448158 ms ; SW2 ;has been pressed
17452399 ms ; SW3 ;has been pressed
17454105 ms ; SW1 ;has been pressed
18000427 ms ; 5 hours have passed
21447625 ms ; SW4 ;has been pressed and the led UV has activate
21470219 ms ; SW4 ;has been pressed
21485103 ms ; SW4 ;has been pressed
21486714 ms ; SW3 ;has been pressed
23050776 ms ; SW2 ;has been pressed
23052382 ms ; SW1 ;has been pressed and the led UV has activate
23053211 ms ; SW3 ;has been pressed
23053913 ms ; SW4 ;has been pressed
23103034 ms ; SW2 ;has been pressed
23103186 ms ; SW2 ;has been pressed
23103544 ms ; SW2 ;has been pressed
23105330 ms ; SW2 ;has been pressed
23105503 ms ; SW1 ;has been pressed
23106292 ms ; SW2 ;has been pressed
23106413 ms ; SW2 ;has been pressed
23106432 ms ; SW1 ;has been pressed
23106890 ms ; SW2 ;has been pressed
23113167 ms ; SW2 ;has been pressed
23113286 ms ; SW2 ;has been pressed
23113305 ms ; SW1 ;has been pressed
23113524 ms ; SW2 ;has been pressed
23113863 ms ; SW1 ;has been pressed
23113993 ms ; SW1 ;has been pressed
