414 ms ; init
249 ms ; init
65935363 ms ; SW1 ;has been pressed
65935481 ms ; SW3 ;has been pressed
65935600 ms ; SW1 ;has been pressed
65935728 ms ; SW3 ;has been pressed
65935899 ms ; SW4 ;has been pressed
65936137 ms ; SW4 ;has been pressed
65936381 ms ; SW2 ;has been pressed
65936500 ms ; SW3 ;has been pressed
65936519 ms ; SW1 ;has been pressed
65936705 ms ; SW4 ;has been pressed
65936925 ms ; SW3 ;has been pressed
65937110 ms ; SW4 ;has been pressed
65937269 ms ; SW4 ;has been pressed
65937495 ms ; SW1 ;has been pressed
65937514 ms ; SW4 ;has been pressed
65937668 ms ; SW4 ;has been pressed
65937932 ms ; SW2 ;has been pressed
65940075 ms ; SW4 ;has been pressed
65940119 ms ; SW1 ;has been pressed
65940317 ms ; SW4 ;has been pressed
65940636 ms ; SW4 ;has been pressed
65940655 ms ; SW1 ;has been pressed
65940874 ms ; SW1 ;has been pressed
65941141 ms ; SW1 ;has been pressed
65941193 ms ; SW2 ;has been pressed
65941629 ms ; SW1 ;has been pressed
65941648 ms ; SW2 ;has been pressed
65941666 ms ; SW3 ;has been pressed
65941686 ms ; SW4 ;has been pressed
65941835 ms ; SW4 ;has been pressed
65941960 ms ; SW4 ;has been pressed
65951814 ms ; SW1 ;has been pressed
65959547 ms ; SW2 ;has been pressed
65960278 ms ; SW2 ;has been pressed
65961092 ms ; SW2 ;has been pressed
65961163 ms ; SW3 ;has been pressed
65961528 ms ; SW2 ;has been pressed
65962273 ms ; SW1 ;has been pressed
65965069 ms ; SW2 ;has been pressed
65965188 ms ; SW3 ;has been pressed
65965206 ms ; SW2 ;has been pressed
65976818 ms ; SW1 ;has been pressed
65976837 ms ; SW4 ;has been pressed
65976955 ms ; SW4 ;has been pressed
65977074 ms ; SW1 ;has been pressed
65977211 ms ; SW3 ;has been pressed
65977330 ms ; SW2 ;has been pressed
65977477 ms ; SW4 ;has been pressed
65977595 ms ; SW1 ;has been pressed
65977714 ms ; SW3 ;has been pressed
65977833 ms ; SW2 ;has been pressed
65977952 ms ; SW4 ;has been pressed
65978084 ms ; SW3 ;has been pressed
65978241 ms ; SW4 ;has been pressed
65978359 ms ; SW2 ;has been pressed
65979010 ms ; SW4 ;has been pressed
65979181 ms ; SW4 ;has been pressed
65979299 ms ; SW1 ;has been pressed
65979502 ms ; SW3 ;has been pressed
65979686 ms ; SW2 ;has been pressed
65979919 ms ; SW4 ;has been pressed
65980407 ms ; SW3 ;has been pressed
65991151 ms ; SW4 ;has been pressed and the led UV has activate
65991786 ms ; SW3 ;has been pressed
65991913 ms ; SW2 ;has been pressed
65992136 ms ; SW4 ;has been pressed
65992288 ms ; SW4 ;has been pressed
65992910 ms ; SW2 ;has been pressed
65993116 ms ; SW2 ;has been pressed
65993354 ms ; SW2 ;has been pressed
65993544 ms ; SW2 ;has been pressed
65993775 ms ; SW2 ;has been pressed
65993998 ms ; SW2 ;has been pressed
65994203 ms ; SW2 ;has been pressed
65994413 ms ; SW2 ;has been pressed
65994638 ms ; SW2 ;has been pressed
65995083 ms ; SW2 ;has been pressed
65995308 ms ; SW2 ;has been pressed
65995984 ms ; SW2 ;has been pressed
65996221 ms ; SW2 ;has been pressed
65996457 ms ; SW2 ;has been pressed
65996689 ms ; SW2 ;has been pressed
65997716 ms ; SW3 ;has been pressed
65998927 ms ; SW4 ;has been pressed
65999215 ms ; SW4 ;has been pressed
65999524 ms ; SW4 ;has been pressed
65999696 ms ; SW4 ;has been pressed
66000624 ms ; SW3 ;has been pressed
66000850 ms ; SW2 ;has been pressed
66001148 ms ; SW1 ;has been pressed
66001569 ms ; SW2 ;has been pressed
66004297 ms ; SW2 ;has been pressed
66004596 ms ; SW1 ;has been pressed
66004615 ms ; SW3 ;has been pressed
66004871 ms ; SW1 ;has been pressed
66005059 ms ; SW4 ;has been pressed
66005178 ms ; SW3 ;has been pressed
66005329 ms ; SW1 ;has been pressed
66005482 ms ; SW4 ;has been pressed
66005604 ms ; SW1 ;has been pressed
66006563 ms ; SW1 ;has been pressed
66034760 ms ; SW4 ;has been pressed
66035108 ms ; SW4 ;has been pressed
66035430 ms ; SW3 ;has been pressed
66035819 ms ; SW3 ;has been pressed
66036055 ms ; SW3 ;has been pressed
66036243 ms ; SW3 ;has been pressed
66036425 ms ; SW3 ;has been pressed
66036929 ms ; SW3 ;has been pressed
66037243 ms ; SW3 ;has been pressed
66037530 ms ; SW3 ;has been pressed
66037649 ms ; SW2 ;has been pressed
66039543 ms ; SW3 ;has been pressed
66039986 ms ; SW4 ;has been pressed
66040104 ms ; SW3 ;has been pressed
66040123 ms ; SW1 ;has been pressed
66070762 ms ; SW3 ;has been pressed
66071144 ms ; SW2 ;has been pressed
66074090 ms ; SW1 ;has been pressed
66074639 ms ; SW2 ;has been pressed
66075455 ms ; SW3 ;has been pressed
66075608 ms ; SW4 ;has been pressed
66075626 ms ; SW3 ;has been pressed
66075859 ms ; SW3 ;has been pressed
66075878 ms ; SW4 ;has been pressed
66076013 ms ; SW3 ;has been pressed
66076137 ms ; SW4 ;has been pressed
66076261 ms ; SW4 ;has been pressed
66076515 ms ; SW3 ;has been pressed
66076533 ms ; SW4 ;has been pressed
66076676 ms ; SW3 ;has been pressed
66076857 ms ; SW3 ;has been pressed
66076994 ms ; SW4 ;has been pressed
66077233 ms ; SW3 ;has been pressed
66077252 ms ; SW4 ;has been pressed
66077382 ms ; SW3 ;has been pressed
66077600 ms ; SW3 ;has been pressed
66077747 ms ; SW3 ;has been pressed
66077995 ms ; SW3 ;has been pressed
66078013 ms ; SW4 ;has been pressed
66102865 ms ; SW4 ;has been pressed
66103003 ms ; SW4 ;has been pressed
66103204 ms ; SW3 ;has been pressed
66104803 ms ; SW4 ;has been pressed
66104995 ms ; SW4 ;has been pressed
66106234 ms ; SW2 ;has been pressed
66106253 ms ; SW3 ;has been pressed
66106422 ms ; SW1 ;has been pressed and the led UV has activate
66106990 ms ; SW1 ;has been pressed
66154030 ms ; SW4 ;has been pressed
66154148 ms ; SW4 ;has been pressed
66154398 ms ; SW4 ;has been pressed
66154620 ms ; SW4 ;has been pressed
66154789 ms ; SW4 ;has been pressed
66155334 ms ; SW4 ;has been pressed
66155575 ms ; SW4 ;has been pressed
66155703 ms ; SW4 ;has been pressed
66156595 ms ; SW4 ;has been pressed
66157314 ms ; SW4 ;has been pressed
66157432 ms ; SW4 ;has been pressed
66159432 ms ; SW4 ;has been pressed
66160897 ms ; SW4 ;has been pressed
66161409 ms ; SW4 ;has been pressed
66161527 ms ; SW4 ;has been pressed
66163305 ms ; SW4 ;has been pressed
66163429 ms ; SW4 ;has been pressed
