13 ms ; init
4577258 ms ; Button pressed (no action triggered)
4578794 ms ; Button pressed (no action triggered)
4581925 ms ; Button pressed (no action triggered)
4582719 ms ; Button pressed (no action triggered)
4583701 ms ; Button pressed (no action triggered)
4595670 ms ; Button pressed - Motor activated
4598079 ms ; Button pressed (while motor running)
4599047 ms ; Button pressed (while motor running)
4599798 ms ; Motor stopped - Micro switch triggered
4600322 ms ; Button pressed (no action triggered)
4602579 ms ; Button pressed (no action triggered)
4608932 ms ; Button pressed (no action triggered)
4610513 ms ; Button pressed (no action triggered)
4611414 ms ; Button pressed (no action triggered)
4612803 ms ; Button pressed (no action triggered)
4613518 ms ; Button pressed (no action triggered)
4615046 ms ; Button pressed (no action triggered)
4615608 ms ; Button pressed (no action triggered)
4616147 ms ; Button pressed (no action triggered)
4617116 ms ; Button pressed (no action triggered)
4617573 ms ; Button pressed (no action triggered)
4618066 ms ; Button pressed (no action triggered)
4618481 ms ; Button pressed (no action triggered)
4621292 ms ; Button pressed (no action triggered)
4623689 ms ; Button pressed (no action triggered)
4624012 ms ; Button pressed (no action triggered)
4624698 ms ; Button pressed (no action triggered)
4625036 ms ; Button pressed (no action triggered)
4625253 ms ; Button pressed (no action triggered)
4625473 ms ; Button pressed (no action triggered)
4625676 ms ; Button pressed (no action triggered)
4625871 ms ; Button pressed (no action triggered)
4626057 ms ; Button pressed (no action triggered)
4626235 ms ; Button pressed (no action triggered)
4627154 ms ; Button pressed (no action triggered)
4628059 ms ; Button pressed (no action triggered)
4628765 ms ; Button pressed (no action triggered)
4629110 ms ; Button pressed (no action triggered)
4629334 ms ; Button pressed (no action triggered)
4630135 ms ; Button pressed - Motor activated
4631280 ms ; Button pressed (while motor running)
4631480 ms ; Button pressed (while motor running)
4631695 ms ; Button pressed (while motor running)
4631928 ms ; Button pressed (while motor running)
4632137 ms ; Button pressed (while motor running)
4632333 ms ; Button pressed (while motor running)
4632828 ms ; Button pressed (while motor running)
4634190 ms ; Motor stopped - Micro switch triggered
4636181 ms ; Button pressed (no action triggered)
4636504 ms ; Button pressed (no action triggered)
4636728 ms ; Button pressed (no action triggered)
4637034 ms ; Button pressed (no action triggered)
4637297 ms ; Button pressed (no action triggered)
4637564 ms ; Button pressed (no action triggered)
4637818 ms ; Button pressed (no action triggered)
4638045 ms ; Button pressed (no action triggered)
4638274 ms ; Button pressed (no action triggered)
4638584 ms ; Button pressed (no action triggered)
4638843 ms ; Button pressed (no action triggered)
4639080 ms ; Button pressed (no action triggered)
4639311 ms ; Button pressed (no action triggered)
4639540 ms ; Button pressed (no action triggered)
4639802 ms ; Button pressed (no action triggered)
4640066 ms ; Button pressed (no action triggered)
4640332 ms ; Button pressed (no action triggered)
4640951 ms ; Button pressed (no action triggered)
4817238 ms ; Button pressed - Motor activated
4821361 ms ; Motor stopped - Micro switch triggered
4835138 ms ; Button pressed (no action triggered)
4836511 ms ; Button pressed (no action triggered)
4844011 ms ; Button pressed (no action triggered)
4844312 ms ; Button pressed (no action triggered)
4844591 ms ; Button pressed (no action triggered)
4844792 ms ; Button pressed (no action triggered)
4845365 ms ; Button pressed (no action triggered)
4971098 ms ; Button pressed - Motor activated
4974819 ms ; Button pressed (while motor running)
4975175 ms ; Motor stopped - Micro switch triggered
4975455 ms ; Button pressed (no action triggered)
4977392 ms ; Button pressed (no action triggered)
4977994 ms ; Button pressed (no action triggered)
4978595 ms ; Button pressed (no action triggered)
4979214 ms ; Button pressed (no action triggered)
4979884 ms ; Button pressed (no action triggered)
4980501 ms ; Button pressed (no action triggered)
4981098 ms ; Button pressed (no action triggered)
4984384 ms ; Button pressed (no action triggered)
5176775 ms ; Button pressed - Motor activated
5178002 ms ; Button pressed (while motor running)
5180864 ms ; Motor stopped - Micro switch triggered
5181298 ms ; Button pressed (no action triggered)
5187565 ms ; Button pressed (no action triggered)
5201675 ms ; Button pressed (no action triggered)
5202864 ms ; Button pressed (no action triggered)
5204702 ms ; Button pressed (no action triggered)
5219000 ms ; Button pressed - Motor activated
5223095 ms ; Motor stopped - Micro switch triggered
5232873 ms ; Button pressed (no action triggered)
5254909 ms ; Button pressed - Motor activated
5258982 ms ; Motor stopped - Micro switch triggered
5286654 ms ; Button pressed (no action triggered)
5509040 ms ; Button pressed - Motor activated
5510504 ms ; Button pressed (while motor running)
5510900 ms ; Button pressed (while motor running)
5511195 ms ; Button pressed (while motor running)
5511526 ms ; Button pressed (while motor running)
5511780 ms ; Button pressed (while motor running)
5512044 ms ; Button pressed (while motor running)
5512233 ms ; Button pressed (while motor running)
5512748 ms ; Button pressed (while motor running)
5513148 ms ; Motor stopped - Micro switch triggered
5517254 ms ; Button pressed (no action triggered)
5517561 ms ; Button pressed (no action triggered)
5517832 ms ; Button pressed (no action triggered)
5518114 ms ; Button pressed (no action triggered)
5518389 ms ; Button pressed (no action triggered)
5518678 ms ; Button pressed (no action triggered)
5518940 ms ; Button pressed (no action triggered)
5519448 ms ; Button pressed (no action triggered)
5519677 ms ; Button pressed (no action triggered)
5519977 ms ; Button pressed (no action triggered)
5520267 ms ; Button pressed (no action triggered)
5520545 ms ; Button pressed (no action triggered)
5520851 ms ; Button pressed (no action triggered)
5521162 ms ; Button pressed (no action triggered)
5521454 ms ; Button pressed (no action triggered)
5521737 ms ; Button pressed (no action triggered)
5522029 ms ; Button pressed (no action triggered)
5522306 ms ; Button pressed (no action triggered)
5522625 ms ; Button pressed (no action triggered)
5522865 ms ; Button pressed (no action triggered)
5523122 ms ; Button pressed (no action triggered)
5523349 ms ; Button pressed (no action triggered)
5524012 ms ; Button pressed (no action triggered)
5524287 ms ; Button pressed (no action triggered)
5524841 ms ; Button pressed (no action triggered)
5525296 ms ; Button pressed (no action triggered)
5525954 ms ; Button pressed (no action triggered)
5526432 ms ; Button pressed (no action triggered)
5535443 ms ; Button pressed (no action triggered)
5536379 ms ; Button pressed (no action triggered)
5537245 ms ; Button pressed (no action triggered)
5538096 ms ; Button pressed (no action triggered)
5538812 ms ; Button pressed (no action triggered)
5539610 ms ; Button pressed (no action triggered)
5540409 ms ; Button pressed (no action triggered)
5541151 ms ; Button pressed (no action triggered)
5541890 ms ; Button pressed (no action triggered)
5542627 ms ; Button pressed (no action triggered)
5543293 ms ; Button pressed - Motor activated
5547347 ms ; Motor stopped - Micro switch triggered
5554958 ms ; Button pressed (no action triggered)
5567366 ms ; Button pressed (no action triggered)
5672936 ms ; Button pressed - Motor activated
5674400 ms ; Button pressed (while motor running)
5677049 ms ; Motor stopped - Micro switch triggered
5701146 ms ; Button pressed (no action triggered)
5702367 ms ; Button pressed (no action triggered)
5704524 ms ; Button pressed (no action triggered)
5705236 ms ; Button pressed (no action triggered)
5706394 ms ; Button pressed (no action triggered)
5706756 ms ; Button pressed (no action triggered)
5707801 ms ; Button pressed - Motor activated
5709452 ms ; Button pressed (while motor running)
5709945 ms ; Button pressed (while motor running)
5710443 ms ; Button pressed (while motor running)
5710875 ms ; Button pressed (while motor running)
5711303 ms ; Button pressed (while motor running)
5711696 ms ; Button pressed (while motor running)
5711813 ms ; Motor stopped - Micro switch triggered
5712230 ms ; Button pressed (no action triggered)
5712637 ms ; Button pressed (no action triggered)
5712960 ms ; Button pressed (no action triggered)
5967841 ms ; Button pressed - Motor activated
5971259 ms ; Button pressed (while motor running)
5971946 ms ; Motor stopped - Micro switch triggered
5973785 ms ; Button pressed (no action triggered)
5976251 ms ; Button pressed (no action triggered)
5987364 ms ; Button pressed (no action triggered)
5989736 ms ; Button pressed (no action triggered)
5992348 ms ; Button pressed (no action triggered)
6006220 ms ; Button pressed - Motor activated
6010270 ms ; Motor stopped - Micro switch triggered
6013319 ms ; Button pressed (no action triggered)
6014394 ms ; Button pressed (no action triggered)
6017464 ms ; Button pressed (no action triggered)
6019765 ms ; Button pressed (no action triggered)
6022090 ms ; Button pressed (no action triggered)
6025335 ms ; Button pressed (no action triggered)
6170884 ms ; Button pressed - Motor activated
6174937 ms ; Motor stopped - Micro switch triggered
6376168 ms ; Button pressed - Motor activated
6377449 ms ; Button pressed (while motor running)
6380216 ms ; Motor stopped - Micro switch triggered
6381016 ms ; Button pressed (no action triggered)
6415000 ms ; Button pressed - Motor activated
6419042 ms ; Motor stopped - Micro switch triggered
6426412 ms ; Button pressed (no action triggered)
6428682 ms ; Button pressed (no action triggered)
6430200 ms ; Button pressed (no action triggered)
6433468 ms ; Button pressed (no action triggered)
6568745 ms ; Button pressed - Motor activated
6572811 ms ; Motor stopped - Micro switch triggered
6573168 ms ; Button pressed (no action triggered)
6586791 ms ; Button pressed (no action triggered)
6587008 ms ; Button pressed (no action triggered)
6587210 ms ; Button pressed (no action triggered)
6587419 ms ; Button pressed (no action triggered)
6587655 ms ; Button pressed (no action triggered)
6587883 ms ; Button pressed (no action triggered)
6588133 ms ; Button pressed (no action triggered)
